 4068042, 2216366, 4038208, 2211656, 4063210, 2184016, 4056947, 2221220,
 286086, 344704, 296695, 363688, 285117, 367653, 301237, 387623,
 54929, 163812, 54676, 164369, 54462, 166484, 55343, 166200,
 25819, 86242, 25944, 84985, 26105, 86069, 27020, 87697,
 19621, 65620, 19391, 65205, 19634, 66234, 20414, 67244,
 15976, 55102, 15983, 55581, 16280, 55915, 16776, 56246,
 13688, 47456, 13718, 47950, 37449, 48096, 14320, 48573,
